FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,resultfile
keygen,http://10.10.10.220:5080/keygen,http://10.10.10.220:5080/users/sign_in,57,302,104,5,1,
04,http://10.10.10.220:5080/04,http://10.10.10.220:5080/users/sign_in,59,302,104,5,1,
03,http://10.10.10.220:5080/03,http://10.10.10.220:5080/users/sign_in,60,302,104,5,1,
archive,http://10.10.10.220:5080/archive,http://10.10.10.220:5080/users/sign_in,63,302,104,5,1,
events,http://10.10.10.220:5080/events,http://10.10.10.220:5080/users/sign_in,62,302,104,5,1,
register,http://10.10.10.220:5080/register,http://10.10.10.220:5080/users/sign_in,65,302,104,5,1,
en,http://10.10.10.220:5080/en,http://10.10.10.220:5080/users/sign_in,66,302,104,5,1,
4,http://10.10.10.220:5080/4,http://10.10.10.220:5080/users/sign_in,74,302,104,5,1,
security,http://10.10.10.220:5080/security,http://10.10.10.220:5080/users/sign_in,71,302,104,5,1,
13,http://10.10.10.220:5080/13,http://10.10.10.220:5080/users/sign_in,72,302,104,5,1,
15,http://10.10.10.220:5080/15,http://10.10.10.220:5080/users/sign_in,78,302,104,5,1,
14,http://10.10.10.220:5080/14,http://10.10.10.220:5080/users/sign_in,76,302,104,5,1,
content,http://10.10.10.220:5080/content,http://10.10.10.220:5080/users/sign_in,75,302,104,5,1,
main,http://10.10.10.220:5080/main,http://10.10.10.220:5080/users/sign_in,77,302,104,5,1,
media,http://10.10.10.220:5080/media,http://10.10.10.220:5080/users/sign_in,80,302,104,5,1,
help,http://10.10.10.220:5080/help,,61,200,37667,2208,230,
forum,http://10.10.10.220:5080/forum,http://10.10.10.220:5080/users/sign_in,67,302,104,5,1,
software,http://10.10.10.220:5080/software,http://10.10.10.220:5080/users/sign_in,68,302,104,5,1,
category,http://10.10.10.220:5080/category,http://10.10.10.220:5080/users/sign_in,73,302,104,5,1,
3,http://10.10.10.220:5080/3,http://10.10.10.220:5080/users/sign_in,70,302,104,5,1,
downloads,http://10.10.10.220:5080/downloads,http://10.10.10.220:5080/users/sign_in,69,302,104,5,1,
press,http://10.10.10.220:5080/press,http://10.10.10.220:5080/users/sign_in,79,302,104,5,1,
templates,http://10.10.10.220:5080/templates,http://10.10.10.220:5080/users/sign_in,81,302,104,5,1,
info,http://10.10.10.220:5080/info,http://10.10.10.220:5080/users/sign_in,85,302,104,5,1,
icons,http://10.10.10.220:5080/icons,http://10.10.10.220:5080/users/sign_in,83,302,104,5,1,
resources,http://10.10.10.220:5080/resources,http://10.10.10.220:5080/users/sign_in,84,302,104,5,1,
profile,http://10.10.10.220:5080/profile,http://10.10.10.220:5080/users/sign_in,86,302,104,5,1,
16,http://10.10.10.220:5080/16,http://10.10.10.220:5080/users/sign_in,87,302,104,5,1,
18,http://10.10.10.220:5080/18,http://10.10.10.220:5080/users/sign_in,89,302,104,5,1,
html,http://10.10.10.220:5080/html,http://10.10.10.220:5080/users/sign_in,92,302,104,5,1,
services,http://10.10.10.220:5080/services,http://10.10.10.220:5080/users/sign_in,82,302,104,5,1,
2004,http://10.10.10.220:5080/2004,http://10.10.10.220:5080/users/sign_in,88,302,104,5,1,
contactus,http://10.10.10.220:5080/contactus,http://10.10.10.220:5080/users/sign_in,91,302,104,5,1,
features,http://10.10.10.220:5080/features,http://10.10.10.220:5080/users/sign_in,93,302,104,5,1,
docs,http://10.10.10.220:5080/docs,http://10.10.10.220:5080/users/sign_in,90,302,104,5,1,
6,http://10.10.10.220:5080/6,http://10.10.10.220:5080/users/sign_in,100,302,104,5,1,
21,http://10.10.10.220:5080/21,http://10.10.10.220:5080/users/sign_in,96,302,104,5,1,
22,http://10.10.10.220:5080/22,http://10.10.10.220:5080/users/sign_in,98,302,104,5,1,
page,http://10.10.10.220:5080/page,http://10.10.10.220:5080/users/sign_in,99,302,104,5,1,
files,http://10.10.10.220:5080/files,http://10.10.10.220:5080/users/sign_in,94,302,104,5,1,
24,http://10.10.10.220:5080/24,http://10.10.10.220:5080/users/sign_in,104,302,104,5,1,
5,http://10.10.10.220:5080/5,http://10.10.10.220:5080/users/sign_in,97,302,104,5,1,
20,http://10.10.10.220:5080/20,http://10.10.10.220:5080/users/sign_in,95,302,104,5,1,
2007,http://10.10.10.220:5080/2007,http://10.10.10.220:5080/users/sign_in,106,302,104,5,1,
misc,http://10.10.10.220:5080/misc,http://10.10.10.220:5080/users/sign_in,101,302,104,5,1,
terms,http://10.10.10.220:5080/terms,http://10.10.10.220:5080/users/sign_in,105,302,104,5,1,
19,http://10.10.10.220:5080/19,http://10.10.10.220:5080/users/sign_in,102,302,104,5,1,
partners,http://10.10.10.220:5080/partners,http://10.10.10.220:5080/users/sign_in,103,302,104,5,1,
17,http://10.10.10.220:5080/17,http://10.10.10.220:5080/users/sign_in,109,302,104,5,1,
i,http://10.10.10.220:5080/i,http://10.10.10.220:5080/users/sign_in,108,302,104,5,1,
23,http://10.10.10.220:5080/23,http://10.10.10.220:5080/users/sign_in,107,302,104,5,1,
legal,http://10.10.10.220:5080/legal,http://10.10.10.220:5080/users/sign_in,114,302,104,5,1,
top,http://10.10.10.220:5080/top,http://10.10.10.220:5080/users/sign_in,112,302,104,5,1,
30,http://10.10.10.220:5080/30,http://10.10.10.220:5080/users/sign_in,115,302,104,5,1,
