FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,resultfile
reports,http://10.10.10.220:5080/reports,http://10.10.10.220:5080/users/sign_in,273,302,104,5,1,
scripts,http://10.10.10.220:5080/scripts,http://10.10.10.220:5080/users/sign_in,274,302,104,5,1,
showallsites,http://10.10.10.220:5080/showallsites,http://10.10.10.220:5080/users/sign_in,277,302,104,5,1,
windows,http://10.10.10.220:5080/windows,http://10.10.10.220:5080/users/sign_in,276,302,104,5,1,
browse,http://10.10.10.220:5080/browse,http://10.10.10.220:5080/users/sign_in,275,302,104,5,1,
programs,http://10.10.10.220:5080/programs,http://10.10.10.220:5080/users/sign_in,278,302,104,5,1,
EWbutton_Community,http://10.10.10.220:5080/EWbutton_Community,http://10.10.10.220:5080/users/sign_in,280,302,104,5,1,
FireFox_Reco,http://10.10.10.220:5080/FireFox_Reco,http://10.10.10.220:5080/users/sign_in,279,302,104,5,1,
EuropeMirror,http://10.10.10.220:5080/EuropeMirror,http://10.10.10.220:5080/users/sign_in,283,302,104,5,1,
EWbutton_GuestBook,http://10.10.10.220:5080/EWbutton_GuestBook,http://10.10.10.220:5080/users/sign_in,281,302,104,5,1,
menu,http://10.10.10.220:5080/menu,http://10.10.10.220:5080/users/sign_in,282,302,104,5,1,
pr,http://10.10.10.220:5080/pr,http://10.10.10.220:5080/users/sign_in,288,302,104,5,1,
entertainment,http://10.10.10.220:5080/entertainment,http://10.10.10.220:5080/users/sign_in,285,302,104,5,1,
Home,http://10.10.10.220:5080/Home,http://10.10.10.220:5080/users/sign_in,286,302,104,5,1,
newsletters,http://10.10.10.220:5080/newsletters,http://10.10.10.220:5080/users/sign_in,287,302,104,5,1,
2000,http://10.10.10.220:5080/2000,http://10.10.10.220:5080/users/sign_in,284,302,104,5,1,
categories,http://10.10.10.220:5080/categories,http://10.10.10.220:5080/users/sign_in,290,302,104,5,1,
32,http://10.10.10.220:5080/32,http://10.10.10.220:5080/users/sign_in,289,302,104,5,1,
assets,http://10.10.10.220:5080/assets,http://10.10.10.220:5080/users/sign_in,291,302,104,5,1,
strona_8,http://10.10.10.220:5080/strona_8,http://10.10.10.220:5080/users/sign_in,298,302,104,5,1,
strona_6,http://10.10.10.220:5080/strona_6,http://10.10.10.220:5080/users/sign_in,294,302,104,5,1,
detail,http://10.10.10.220:5080/detail,http://10.10.10.220:5080/users/sign_in,292,302,104,5,1,
strona_11,http://10.10.10.220:5080/strona_11,http://10.10.10.220:5080/users/sign_in,293,302,104,5,1,
strona_1,http://10.10.10.220:5080/strona_1,http://10.10.10.220:5080/users/sign_in,299,302,104,5,1,
36,http://10.10.10.220:5080/36,http://10.10.10.220:5080/users/sign_in,296,302,104,5,1,
strona_3,http://10.10.10.220:5080/strona_3,http://10.10.10.220:5080/users/sign_in,300,302,104,5,1,
strona_4,http://10.10.10.220:5080/strona_4,http://10.10.10.220:5080/users/sign_in,303,302,104,5,1,
strona_14,http://10.10.10.220:5080/strona_14,http://10.10.10.220:5080/users/sign_in,295,302,104,5,1,
strona_2,http://10.10.10.220:5080/strona_2,http://10.10.10.220:5080/users/sign_in,297,302,104,5,1,
strona_17,http://10.10.10.220:5080/strona_17,http://10.10.10.220:5080/users/sign_in,302,302,104,5,1,
strona_16,http://10.10.10.220:5080/strona_16,http://10.10.10.220:5080/users/sign_in,304,302,104,5,1,
strona_5,http://10.10.10.220:5080/strona_5,http://10.10.10.220:5080/users/sign_in,306,302,104,5,1,
strona_18,http://10.10.10.220:5080/strona_18,http://10.10.10.220:5080/users/sign_in,301,302,104,5,1,
strona_10,http://10.10.10.220:5080/strona_10,http://10.10.10.220:5080/users/sign_in,309,302,104,5,1,
strona_9,http://10.10.10.220:5080/strona_9,http://10.10.10.220:5080/users/sign_in,305,302,104,5,1,
registration,http://10.10.10.220:5080/registration,http://10.10.10.220:5080/users/sign_in,311,302,104,5,1,
strona_15,http://10.10.10.220:5080/strona_15,http://10.10.10.220:5080/users/sign_in,308,302,104,5,1,
strona_12,http://10.10.10.220:5080/strona_12,http://10.10.10.220:5080/users/sign_in,310,302,104,5,1,
strona_7,http://10.10.10.220:5080/strona_7,http://10.10.10.220:5080/users/sign_in,307,302,104,5,1,
strona_19,http://10.10.10.220:5080/strona_19,http://10.10.10.220:5080/users/sign_in,313,302,104,5,1,
strona_13,http://10.10.10.220:5080/strona_13,http://10.10.10.220:5080/users/sign_in,314,302,104,5,1,
kontakt,http://10.10.10.220:5080/kontakt,http://10.10.10.220:5080/users/sign_in,316,302,104,5,1,
strona_21,http://10.10.10.220:5080/strona_21,http://10.10.10.220:5080/users/sign_in,315,302,104,5,1,
strona_20,http://10.10.10.220:5080/strona_20,http://10.10.10.220:5080/users/sign_in,312,302,104,5,1,
glossary,http://10.10.10.220:5080/glossary,http://10.10.10.220:5080/users/sign_in,318,302,104,5,1,
40,http://10.10.10.220:5080/40,http://10.10.10.220:5080/users/sign_in,317,302,104,5,1,
mailman,http://10.10.10.220:5080/mailman,http://10.10.10.220:5080/users/sign_in,320,302,104,5,1,
showthread,http://10.10.10.220:5080/showthread,http://10.10.10.220:5080/users/sign_in,319,302,104,5,1,
cnt,http://10.10.10.220:5080/cnt,http://10.10.10.220:5080/users/sign_in,321,302,104,5,1,
order,http://10.10.10.220:5080/order,http://10.10.10.220:5080/users/sign_in,322,302,104,5,1,
tutorials,http://10.10.10.220:5080/tutorials,http://10.10.10.220:5080/users/sign_in,323,302,104,5,1,
listinfo,http://10.10.10.220:5080/listinfo,http://10.10.10.220:5080/users/sign_in,324,302,104,5,1,
33,http://10.10.10.220:5080/33,http://10.10.10.220:5080/users/sign_in,325,302,104,5,1,
35,http://10.10.10.220:5080/35,http://10.10.10.220:5080/users/sign_in,327,302,104,5,1,
r,http://10.10.10.220:5080/r,http://10.10.10.220:5080/users/sign_in,326,302,104,5,1,
whitepapers,http://10.10.10.220:5080/whitepapers,http://10.10.10.220:5080/users/sign_in,328,302,104,5,1,
